index,published,keyword,domain,language,valid,title,description,url,image,archive,content,quote
a3c3e8e2ac0c062bd40ea9224d858a1f,2025-10-01T07:00:08Z,'Hitzewelle',www.stern.de,de,1.0,"Klimawandel: Wenig Schnee, viel Hitze: Gletscher schrumpfen weiter",Gletscherschwund im Rekordtempo: Warum ein schneearmer Winter und Hitzewellen das Schweizer Gebirge gefährlicher machen – und was das für Alpendörfer wie Blatten bedeutet.,https://www.stern.de/panorama/wissen/klimawandel--wenig-schnee--viel-hitze--gletscher-schrumpfen-weiter-36096194.html,https://image.stern.de/36096196/t/7i/v1/w1440/r1.7778/-/01--ltv75aqgwuv3axs2048jpeg---6fc7ab2906a8b0e0.jpg,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Gletscherschwund im Rekordtempo: Warum ein schneearmer Winter und Hitzewellen das Schweizer Gebirge gefährlicher machen und was das für Alpendörf… [+2406 chars]",
07f5c4fa08115bb54d2f5e590549d60f,2025-10-01T08:02:38Z,'Hitzewelle',www.focus.de,de,1.0,Die weißen Riesen zerfallen: Experten warnen vor dramatischem Gletscher-Sterben,Gletscherschwund im Rekordtempo: Warum ein schneearmer Winter und Hitzewellen das Schweizer Gebirge gefährlicher machen – und was das für Alpendörfer wie Blatten bedeutet.,https://www.focus.de/wissen/die-weissen-riesen-zerfallen-experten-warnen-vor-dramatischem-gletscher-sterben_b29a8723-ef5d-4259-ab8d-0fbb9a9b7e18.html,https://quadro.burda-forward.de/ctf/635a8850-7385-4e6b-837c-b129bfd2e04d.2f7ad36e-1965-4e7e-86de-7ebec6a92038.jpeg?im=RegionOfInterestCrop%3D%281200%2C630%29%2CregionOfInterest%3D%28993%2C757%29&hash=440fddd9a8091696f58fce5664e896c255c168a36659d71815b8185026d6aa2c,,"Es gibt keine Verschnaufpause für die Schweizer Gletscher: in diesem Jahr wurde bei ihnen der viertgrößte Schwund seit Messbeginn 1950 erfasst. Ihr Volumen ging um drei Prozent zurück, wie das Gletsc… [+4175 chars]",
c405180fea72753430b7496c3c0bed85,2025-10-01T08:11:00Z,'Dürre',www.dw.com,de,1.0,Warum verursacht der Klimawandel gefährliche Senklöcher?,"Dürren, sinkende Grundwasserspiegel und Starkregen tragen dazu bei, dass immer öfter große Erdkrater im Boden entstehen. Wie kann die Gefahr reduziert werden?",https://www.dw.com/de/wie-beim-zahnarzt-warum-immer-mehr-erdkrater-entstehen-und-was-hilft-dolinen-d%C3%BCrre-grundwasser/a-73773932,https://static.dw.com/image/72898169_6.jpg,,"Im Nordosten des brasilianischen Amazonasgebiets stehen Häuser plötzlich am Rande riesiger Krater. Die gewaltigen Erdlöcher entstanden nach starken Regenfällen, über tausend Menschen sind von Obdachl… [+6263 chars]",
f3ffe35beee16f4e9a77669e615f1819,2025-10-02T16:20:44Z,'Hitzetote',www.stern.de,de,1.0,Gesundheitsministerium: Spanien verzeichnete im Sommer 2025 fast 4000 Hitzetote,"In Spanien hat es im diesem Sommer fast 4000 Hitzetote gegeben - enorm viel mehr als vergangenes Jahr. Insgesamt 3830 Todesfälle zwischen dem 16. Mai und dem 30. September 2025 seien auf die hohen Temperaturen zurückzuführen, erklärte das spanische Gesundheit…",https://www.stern.de/news/gesundheitsministerium--spanien-verzeichnete-im-sommer-2025-fast-4000-hitzetote-36102424.html,https://image.stern.de/36102426/t/aZ/v1/w1440/r1.7778/-/02--fahrraeder-am-rande-eines-waldbrands-in-nordwestspanien-im-august---4172c13129e310bc.jpg,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
In Spanien hat es im diesem Sommer fast 4000 Hitzetote gegeben - enorm viel mehr als vergangenes Jahr. Insgesamt 3830 Todesfälle zwischen dem 16.… [+1569 chars]",
74af387175c801a4188a5146f5db4293,2025-10-02T19:57:10Z,'Hitzetote',www.diepresse.com,de,1.0,Fast 4000 spanische Hitzetote im Sommer 2025,Der heißeste Sommer seit Beginn der Aufzeichnungen in Spanien sorgte laut dem Gesundheitsminister in Madrid für fast 4000 Hitzetote dieses Jahr.,https://www.diepresse.com/20163400/fast-4000-spanische-hitzetote-im-sommer-2025,https://img.diepresse.com/public/incoming/poah0l-imago-images-0829370241/alternates/DPR_SOCIAL_NACHRICHTEN/imago%20images%200829370241,,"Der heißeste Sommer seit Beginn der Aufzeichnungen in Spanien sorgte laut dem Gesundheitsminister in Madrid für fast 4000 Hitzetote dieses Jahr. 
In Spanien hat es diesen Sommer fast 4.000 Hitzetote… [+1677 chars]",
dfe0bf22d2c138b6e61d6fdd0877a825,2025-10-03T10:00:00Z,'Hitzetote',taz.de,de,1.0,Bilanz des Sommers: Fast 4.000 Hitzetote in Spanien,Im Sommer erlebte Spanien eine Rekordhitzewelle. Nun zieht das Gesundheitsministerium Bilanz. Eine Gruppe von Menschen ist besonders betroffen.,https://taz.de/Bilanz-des-Sommers/!6117526/,https://taz.de/picture/7965488/1200/39002849.jpeg,,Im Sommer erlebte Spanien eine Rekordhitzewelle. Nun zieht das Gesundheitsministerium Bilanz. Eine Gruppe von Menschen ist besonders betroffen. mehr...,
7e3c8c6e98f208fbd4644789423edce0,2025-10-03T17:39:00Z,'Hitzewelle',www.stern.de,de,1.0,"Hitze, Dürren, Starkregen: Eine kurze Geschichte des Extremwetters in Deutschland",Deutschland erhitzt sich doppelt so schnell wie der Rest der Welt. Woran liegt das? Und was bedeutet das für uns? Ein Blick auf über 100 Jahre deutsche Wettergeschichte.,https://www.stern.de/panorama/wetter/extremwetter-in-deutschland--kurze-geschichte-in-grafiken-36067056.html,https://image.stern.de/36079846/t/QD/v7/w1440/r1.7778/-/extremwetter-6.jpg,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Deutschland erhitzt sich doppelt so schnell wie der Rest der Welt. Woran liegt das? Und was bedeutet das für uns? Ein Blick auf über 100 Jahre de… [+12786 chars]",
76502c090c3252b2f96282ab8bb8a0f9,2025-10-04T02:30:12Z,'Wasserknappheit',www.stern.de,de,1.0,Almwirtschaft: Älpler blicken auf turbulenten Bergsommer zurück,"Wasserknappheit, nervöse Herden und Hubschrauber-Übungen hielten die Hirten im Allgäu und Oberbayern in diesem Sommer auf Trab. Warum sie dennoch eine positive Bilanz ziehen.",https://www.stern.de/gesellschaft/regional/bayern/almwirtschaft--aelpler-blicken-auf-turbulenten-bergsommer-zurueck-36104358.html,https://image.stern.de/36104360/t/vi/v1/w1440/r1.7778/-/04--fhiex4tenav4axs2048jpeg---0fbfdac860f517ff.jpg,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Wasserknappheit, nervöse Herden und Hubschrauber-Übungen hielten die Hirten im Allgäu und Oberbayern in diesem Sommer auf Trab. Warum sie dennoch… [+3710 chars]",
6f97f75b56205b691102c012d96ec98d,2025-10-04T10:07:37Z,'Wasserknappheit',www.sueddeutsche.de,de,1.0,Almwirtschaft in Bayern: Turbulenter Bergsommer für die Älpler,"Wasserknappheit, nervöse Herden und Hubschrauber-Übungen hielten die Hirten im Allgäu und Oberbayern in diesem Sommer auf Trab. Warum sie dennoch eine positive Bilanz ziehen.",https://www.sueddeutsche.de/bayern/allgaeu-oberbayern-bergsommer-almwirtschaft-herausforderungen-hirten-li.3321554,https://www.sueddeutsche.de/2025/10/04/159d0051-6d02-4e49-ad33-2ada2ec92cf7.jpg?q=60&fm=webp&width=1200&rect=0%2C210%2C4000%2C2250,,"Wasserknappheit, nervöse Herden und Hubschrauber-Übungen hielten die Hirten im Allgäu und Oberbayern in diesem Sommer auf Trab. Dennoch ziehen sie eine positive Bilanz.Die Hirten im Allgäu und in Obe… [+714 chars]",
2e6441f80d5fc7f1337b0ddf289226bf,2025-10-04T11:57:53Z,'Dürre',www.tagesspiegel.de,de,1.0,T.C. Boyles Roman „No Way Home“: Liebe in Zeiten der Dürre,"Kammerspiel mit Daisy: Der amerikanische Bestsellerautor T.C. Boyle hat einen guten Roman über zwei Männer, eine Frau und ihre toxische Dreiecksbeziehung geschrieben.",https://www.tagesspiegel.de/kultur/tc-boyles-roman-no-way-home-liebe-in-zeiten-der-durre-14459843.html,https://www.tagesspiegel.de/images/14459849/alternates/BASE_16_9_W1400/1759478751000/us-schriftsteller-t-c-boyle.jpeg,,"Ausdauernd und entsetzt hat sich T. C. Boyle in den vergangenen Jahren über Donald Trump geäußert, beginnend mit dessen erster Amtszeit als US-Präsident 2017. Es wäre also längst an der Zeit, dass de… [+298 chars]",
