,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Iran,Iran,LOC,-0.20054517,0.17959502,de,107.00000000,4027653-3,130758,A,32.00000000,53.00000000,ASIA,Iran,WCA
Deutschland,Deutschland,LOC,-0.07315522,0.06679389,de,52.40000000,4011882-4,2921044,A,51.50000000,10.50000000,EUROPE,Germany,WCE
Teheran,Teheran,LOC,-0.32650862,0.20689655,de,23.20000000,4059304-6,112931,P,35.69439000,51.42151000,ASIA,Iran,WCA
Mexiko,Mexiko,LOC,-0.20552147,0.15337423,de,16.30000000,4039058-5,3996063,A,23.00000000,-102.00000000,CENTRAL-AMERICA,Mexico,NCA
Spanien,Spanien,LOC,0.02430556,0.10416667,de,14.40000000,4055964-6,2510769,A,40.00000000,-4.00000000,EUROPE-AFRICA,Spain,MED
Bayern,Bayern,LOC,0.04820937,0.11019284,de,12.10000000,4005044-0,2951839,A,49.00000000,11.50000000,EUROPE,Germany,WCE
Europa,Europa,LOC,-0.22589532,0.00000000,de,12.10000000,4015701-5,6255148,L,48.69096000,9.14062000,EUROPE,Germany,WCE
USA,USA,LOC,-0.12385321,0.22935780,de,10.90000000,4078704-7,6255150,L,-14.60485000,-57.65625000,SOUTH-AMERICA,Brazil,SAM
…,…,LOC,0.12765957,0.01595745,de,9.40000000,,0,,,,,,
Bodensee,Bodensee,LOC,0.37234043,0.31914894,de,9.40000000,4007403-1,11919717,L,47.61495000,9.39765000,EUROPE,,WCE
Sudan,Sudan,LOC,-0.20238095,0.00000000,de,8.40000000,4058378-8,366755,A,16.00000000,30.00000000,AFRICA,Sudan,SAH
Dürre,Dürre,LOC,0.16867470,0.12048193,de,8.30000000,,2934402,T,50.63333000,13.30000000,EUROPE,Germany,WCE
Brandenburg,Brandenburg,LOC,-0.06790123,0.00000000,de,8.10000000,4007955-7,2945356,A,52.45905000,13.01582000,EUROPE,Germany,WCE
Wassermangel,Wassermangel,LOC,-0.04109589,0.27397260,de,7.30000000,,7911102,P,51.33281000,6.95615000,EUROPE,Germany,WCE
Thüringen,Thüringen,LOC,-0.09589041,0.00000000,de,7.30000000,4059979-6,2822542,A,50.91667000,11.00000000,EUROPE,Germany,WCE
Erde,Erde,LOC,-0.06164384,0.17123288,de,7.30000000,1135962553,6295630,L,0.00000000,0.00000000,ATLANTIC,,EAO
Steiermark,Steiermark,LOC,0.04166667,0.13888889,de,7.20000000,4057092-7,2764581,A,47.25000000,15.16667000,EUROPE,Austria,WCE
Türkei,Türkei,LOC,-0.24875622,1.09452736,de,6.70000000,4061163-2,298795,A,39.00000000,35.00000000,EUROPE-AFRICA,Turkey,MED
Oberbayern,Oberbayern,LOC,-0.10447761,0.00000000,de,6.70000000,4245720-8,2867714,P,48.13743000,11.57549000,EUROPE,Germany,WCE
China,China,LOC,0.09848485,0.22727273,de,6.60000000,4009937-4,1814991,A,35.00000000,105.00000000,ASIA,China,EAS
Freistaat,Freistaat,LOC,-0.31794872,0.12820513,de,6.50000000,4059979-6,2822542,A,50.91667000,11.00000000,EUROPE,Germany,WCE
Ostsee,Ostsee,LOC,0.10937500,0.46875000,de,6.40000000,4044107-6,2633321,H,56.00000000,18.00000000,EUROPE,Germany,NEU
Wattenmeer,Wattenmeer,LOC,0.21875000,0.00000000,de,6.40000000,,3230285,L,53.57731000,6.93703000,EUROPE,Germany,NEU
Sachsen-Anhalt,Sachsen-Anhalt,LOC,-0.00555556,0.15873016,de,6.30000000,4036934-1,2874545,P,52.12773000,11.62916000,EUROPE,Germany,WCE
Italien,Italien,LOC,-0.09523810,0.00000000,de,6.30000000,4027833-5,3175395,A,42.83333000,12.83333000,EUROPE-AFRICA,Italy,MED
Bayerns,Bayerns,LOC,-0.15789474,0.17543860,de,5.70000000,,0,,,,,,
Irans,Irans,LOC,0.20535714,0.00000000,de,5.60000000,,0,,,,,,
Sachsen,Sachsen,LOC,-0.12500000,0.53571429,de,5.60000000,4051181-9,2842565,A,52.00000000,11.73330000,EUROPE,Germany,WCE
Stadt,Stadt,LOC,0.36363636,0.00000000,de,5.50000000,,2950159,P,52.52437000,13.41053000,EUROPE,Germany,WCE
Ostfriesischen Inseln,Ostfriesischen Inseln,LOC,0.08181818,0.00000000,de,5.50000000,,2856306,T,53.73333000,7.41667000,EUROPE,Germany,NEU
Landes,Landes,LOC,0.00000000,0.00000000,de,5.50000000,,3007868,L,44.25000000,-1.00000000,EUROPE-AFRICA,France,MED
Schmalwasser-Talsperre,Schmalwasser-Talsperre,LOC,-0.25454545,0.00000000,de,5.50000000,,0,,,,,,
Niederösterreich,Niederösterreich,LOC,-0.06481481,0.09259259,de,5.40000000,4075391-8,2770542,A,48.33333000,15.75000000,EUROPE,Austria,WCE
Berlin,Berlin,LOC,-0.33018868,0.59433962,de,5.30000000,4005728-8,2950159,P,52.52437000,13.41053000,EUROPE,Germany,WCE
Allgäu,Allgäu,LOC,-0.11000000,0.00000000,de,5.00000000,4030234-9,2891621,P,47.72674000,10.31389000,EUROPE,Germany,WCE
Niedersachsen,Niedersachsen,LOC,0.08163265,0.00000000,de,4.90000000,4042226-4,2862926,A,52.83333000,9.16667000,EUROPE,Germany,WCE
Österreich,Österreich,LOC,0.03061224,0.00000000,de,4.90000000,4043271-3,2782113,A,47.33333000,13.33333000,EUROPE,Austria,WCE
Klimawandel,Klimawandel,LOC,-0.14893617,0.63829787,de,4.70000000,,0,,,,,,
Indien,Indien,LOC,0.00000000,0.00000000,de,4.60000000,4026722-2,1269750,A,22.00000000,79.00000000,ASIA,India,SAS
Donau,Donau,LOC,0.05072464,0.50724638,de,4.60000000,4041719-0,2866070,P,48.73218000,11.18709000,EUROPE,Germany,WCE
Frankreich,Frankreich,LOC,0.00000000,0.00000000,de,4.60000000,4018145-5,3017382,A,46.00000000,2.00000000,EUROPE,France,WCE
Panamakanal,Panamakanal,LOC,-0.65217391,0.00000000,de,4.60000000,,0,,,,,,
Ukraine,Ukraine,LOC,-0.21739130,0.00000000,de,4.60000000,4061496-7,690791,A,49.00000000,32.00000000,EUROPE,Ukraine,WCE
Patagonien,Patagonien,LOC,-0.06521739,0.00000000,de,4.60000000,4044867-8,3841798,L,-44.00000000,-68.00000000,SOUTH-AMERICA,Argentina,SSA
Ibiza,Ibiza,LOC,0.00000000,0.00000000,de,4.60000000,4026432-4,6299339,S,38.87286000,1.37312000,EUROPE-AFRICA,Spain,MED
Hessen,Hessen,LOC,-0.17777778,0.11111111,de,4.50000000,4024729-6,2905330,A,50.55000000,9.00000000,EUROPE,Germany,WCE
Grundwasser,Grundwasser,LOC,0.00000000,0.22222222,de,4.50000000,,0,,,,,,
Brasilien,Brasilien,LOC,0.00000000,0.00000000,de,4.20000000,4008003-1,3469034,A,-10.00000000,-55.00000000,SOUTH-AMERICA,Brazil,SAM
Athen,Athen,LOC,-0.17500000,0.00000000,de,4.00000000,4003366-1,264371,P,37.98376000,23.72784000,EUROPE-AFRICA,Greece,MED
Trab,Trab,LOC,-0.17500000,0.00000000,de,4.00000000,,2596174,L,31.14459000,-6.56317000,EUROPE-AFRICA,Morocco,MED
den USA,den USA,LOC,-0.48717949,0.12820513,de,3.90000000,4011446-6,2747373,P,52.07667000,4.29861000,EUROPE,The Netherlands,NEU
Gaza,Gaza,LOC,-0.09210526,0.13157895,de,3.80000000,4092680-1,281133,P,31.50161000,34.46672000,EUROPE-AFRICA,Palestinian Territory,MED
Namibia,Namibia,LOC,0.08108108,0.00000000,de,3.70000000,4075202-1,3355338,A,-22.00000000,17.00000000,AFRICA,Namibia,WSAF
Baden-Württemberg,Baden-Württemberg,LOC,-0.18918919,0.00000000,de,3.70000000,4004176-1,2953481,A,48.50000000,9.00000000,EUROPE,Germany,WCE
