,phrase,label,sentiment,subjectivity,language,count,geonames,geotype,latitude,longitude,country,ipcc
"Link
","Link
",MISC,,,de,30,,,,,,
“,“,MISC,,,de,29,,,,,,
brasilianischen,brasilianischen,MISC,,,de,7,,,,,,
Sachsen,Sachsen,MISC,-0.2333333333333333,0.0,de,6,,,,,,
Wasser-Streit,Wasser-Streit,MISC,,,de,6,,,,,,
Klimawandel“,Klimawandel“,MISC,,,de,4,,,,,,
Schweizer,Schweizer,MISC,,,de,4,,,,,,
Amazon,Amazon,MISC,,,de,3,,,,,,
CO2,CO2,MISC,,,de,3,,,,,,
griechische,griechische,MISC,,,de,3,,,,,,
Wassers,Wassers,MISC,,,de,3,,,,,,
iranischen,iranischen,MISC,,,de,3,,,,,,
amerikanische,amerikanische,MISC,,,de,3,,,,,,
Stunde-Null-Dürre,Stunde-Null-Dürre,MISC,,,de,3,,,,,,
deutschen,deutschen,MISC,,,de,3,,,,,,
Capital</li><li>4,Capital</li><li>4,MISC,,,de,2,,,,,,
Nobelpreis für Klimatechnologie,Nobelpreis für Klimatechnologie,MISC,,,de,2,,,,,,
brandenb…,brandenb…,MISC,,,de,2,,,,,,
klimaschädliches CO2,klimaschädliches CO2,MISC,,,de,2,,,,,,
CO2-Speicher,CO2-Speicher,MISC,,,de,2,,,,,,
österreichischen,österreichischen,MISC,,,de,2,,,,,,
a…,a…,MISC,,,de,2,,,,,,
Erwärmung,Erwärmung,MISC,,,de,2,,,,,,
afrikanischen,afrikanischen,MISC,,,de,2,,,,,,
COP30,COP30,MISC,,,de,2,,,,,,
deutsche,deutsche,MISC,,,de,2,,,,,,
stern+statt,stern+statt,MISC,,,de,2,,,,,,
stern+,stern+,MISC,,,de,2,,,,,,
Star Wars,Star Wars,MISC,,,de,2,,,,,,
Krieg,Krieg,MISC,,,de,2,,,,,,
Hause,Hause,MISC,,,de,2,,,,,,
Instagram,Instagram,MISC,,,de,2,,,,,,
Nussschokolade,Nussschokolade,MISC,,,de,2,,,,,,
spanische,spanische,MISC,,,de,2,,,,,,
Betroffenen im Jahr 2024,Betroffenen im Jahr 2024,MISC,,,de,2,,,,,,
U…,U…,MISC,,,de,2,,,,,,
Nutella,Nutella,MISC,0.7,0.0,de,2,,,,,,
Do…,Do…,MISC,,,de,1,,,,,,
Erkältung bei Kindern,Erkältung bei Kindern,MISC,,,de,1,,,,,,
Getränkehersteller“,Getränkehersteller“,MISC,,,de,1,,,,,,
größten.weiterlesen auf t3n.de,größten.weiterlesen auf t3n.de,MISC,,,de,1,,,,,,
Primär-Endenergie Verluste,Primär-Endenergie Verluste,MISC,,,de,1,,,,,,
Wasser-Streit“,Wasser-Streit“,MISC,,,de,1,,,,,,
