,phrase,label,sentiment,subjectivity,language,count
Filippo Grandi,Filippo Grandi,PER,0.35714285714285715,0.0,de,2.8
Massud Peseschkian,Massud Peseschkian,PER,0.0,0.0,de,2.8
Masterplan Wasser,Masterplan Wasser,PER,0.0,0.0,de,2.0
Bremens Umgang,Bremens Umgang,PER,-1.0,0.0,de,2.0
Lula da Silva,Lula da Silva,PER,1.176470588235294,0.0,de,1.7000000000000002
Norbert Bolz,Norbert Bolz,PER,0.0,0.0,de,1.3
Pablo Nett,Pablo Nett,PER,2.3749999999999996,0.0,de,1.2000000000000002
Donald Trump,Donald Trump,PER,-0.9090909090909091,0.0,de,1.1
Charlotte Krebs,Charlotte Krebs,PER,1.8181818181818181,0.0,de,1.1
Kelis Rogers,Kelis Rogers,PER,0.0,0.0,de,1.1
Armin Schuster,Armin Schuster,PER,0.7,0.0,de,1.0
Masoud Pezeshkian ,Masoud Pezeshkian ,PER,0.7,0.0,de,1.0
Forstminister Jung,Forstminister Jung,PER,0.0,0.0,de,1.0
Francesca Pellicciotti,Francesca Pellicciotti,PER,0.35,0.5,de,1.0
Martin Kölli,Martin Kölli,PER,0.0,0.0,de,1.0
Nicole Deitelhoff,Nicole Deitelhoff,PER,0.85,0.0,de,1.0
Teheran  ,Teheran  ,PER,0.7,0.0,de,1.0
Leo XIV,Leo XIV,PER,0.0,0.0,de,1.0
Mei Schnitzel,Mei Schnitzel,PER,0.7,0.0,de,1.0
Abbas Aliabadi,Abbas Aliabadi,PER,-1.0,0.0,de,1.0
Benjamin Weber,Benjamin Weber,PER,0.0,0.0,de,1.0
Friedrich Merz,Friedrich Merz,PER,0.0,0.0,de,1.0
Lichtenrader Revier,Lichtenrader Revier,PER,0.0,0.0,de,1.0
Gerhard Wandl,Gerhard Wandl,PER,0.0,0.0,de,1.0
Krankmacher Wüstenstaub,Krankmacher Wüstenstaub,PER,0.0,0.0,de,1.0
Kulturstaatsminister Weimer,Kulturstaatsminister Weimer,PER,0.0,0.0,de,1.0
Europas Wohlstand,Europas Wohlstand,PER,0.0,0.0,de,1.0
Mohammad Alimoradi,Mohammad Alimoradi,PER,1.0,0.0,de,1.0
Edwin Hamweemba,Edwin Hamweemba,PER,1.0,0.0,de,1.0
beliebtestem Zaungewächs,beliebtestem Zaungewächs,PER,0.0,1.0,de,1.0
Friedhart Knolle,Friedhart Knolle,PER,0.0,0.0,de,1.0
Chemiekonzerns Bayer,Chemiekonzerns Bayer,PER,0.0,0.0,de,1.0
Karl Bär,Karl Bär,PER,0.0,0.0,de,1.0
Matthias Berni,Matthias Berni,PER,0.0,0.0,de,1.0
Franz Waldenberger,Franz Waldenberger,PER,0.7,0.0,de,1.0
Helmut Feitzlmayr,Helmut Feitzlmayr,PER,0.7,0.0,de,1.0
Peter Schwalbach,Peter Schwalbach,PER,0.0,0.0,de,1.0
Alexei Ratmanskys,Alexei Ratmanskys,PER,0.0,0.0,de,1.0
Agnieszka Hollands Kafka-Film,Agnieszka Hollands Kafka-Film,PER,0.0,0.0,de,1.0
Franz K,Franz K,PER,0.0,0.0,de,1.0
Giovanni Pascoli,Giovanni Pascoli,PER,0.85,0.0,de,1.0
John Topham ,John Topham ,PER,0.0,0.0,de,1.0
Michael Bahn,Michael Bahn,PER,0.0,0.0,de,1.0
Peter Osteried,Peter Osteried,PER,0.7,0.0,de,1.0
George Lucas,George Lucas,PER,0.7,0.0,de,1.0
Madi Keita,Madi Keita,PER,0.0,0.0,de,1.0
Bernfried Steinmayer,Bernfried Steinmayer,PER,0.0,1.0,de,1.0
