,summary,Hazard,Causes,Impacts,Mitigation,Adaptation,Resilience,Vulnerability,word
summaryOfAllWords,178910.06742178267,39898.73056030243,25713.891730865573,54288.03325885266,25752.18251190293,29007.965486405425,3106.368021344494,1142.8958520770898,
Auf,34.21319746716396,-0.1273405705341502,0.13889690100886326,0.09110413190511422,-0.14300998511123048,0.09602576317667329,-2.1422557382002068,-2.008053094120503,Auf
Trockenen,10.258742709031443,-0.3620111489204149,-0.4905364738593323,0.28579377269153977,0.05330697013477709,0.16604311321315401,-0.9377745669698537,-0.8035719228901494,Trockenen
auf trocken+en,5.388035538075688,-0.2608673139393308,-0.17415793512870378,0.1845215043658429,0.03202405410436368,0.07922935466868111,-0.2938251320244133,-0.15962248794470904,auf trocken+en
Extreme,22.227763832497473,0.1189814547424676,-0.11851695190056653,0.1505053272588807,-0.14406038484016156,-0.15149980524421805,-1.7109864083016855,-1.576783764221981,Extreme
trocken+en extrem+e,5.980833057435241,-0.3495270032886768,-0.2664397173273548,0.23277779621779632,0.04831201887750579,0.11593086534638436,-0.3982041432392289,-0.2640014991595248,trocken+en extrem+e
Wasserknappheit,405.85160073578834,-2.0334374234850388,-1.698724747170645,0.6399270379626142,0.045284949706709904,0.29719231234507654,-4.61563185507122,-4.481429210991515,Wasserknappheit
extrem+e wasser+knappheit,11.423552969241248,-0.6435674320573925,-0.7332975695207613,0.3914405050096936,0.0813303312048778,0.2107112837789877,-1.0453215517034948,-0.9111189076237907,extrem+e wasser+knappheit
bald,41.75025249294935,0.019961733670451218,-0.21307223213480814,0.20130716951746883,-0.10062599590381004,-0.059887505952551386,-2.341349776729517,-2.2071471326498124,bald
wasser+knappheit bald,5.510517531533822,-0.21445840173925004,-0.1444885327476231,0.17382121637485093,0.014516251945412754,0.05076453222510486,-0.3163028223378982,-0.1821001782581941,wasser+knappheit bald
Millionen,67.40210444717556,-0.29157747725823496,0.23813196960693309,0.14349496497041234,-0.12893569023538978,0.02886890744480126,-0.9204122645249558,-2.6861178743186107,Millionen
bald million+en,5.439275169762457,-0.19129611615943926,-0.12397104772812874,0.1631419402858505,0.007778510079214273,0.03769338915513677,-0.3032900888536368,-0.16908744477393264,bald million+en
Menschen,116.18429727931016,-0.2105430713505177,0.07084926967371338,0.21990066445281306,-0.12467447019639295,-0.07245598012657196,-0.6729251895998574,-3.230619333632207,Menschen
million+en mensch+en,41.51914708943756,-0.3595940152160359,0.48565753160984254,0.14251671887655004,-0.18485279222383333,-0.1553265432110572,-2.3357989742003578,-2.2015963301206534,million+en mensch+en
treffen,29.2389756695339,0.1445433211436139,0.05442030576260482,0.12371782432021772,-0.1610238389716679,-0.2907800972302611,-1.9851468801618892,-1.8509442360821848,treffen
mensch+en treff+en,5.35308556283724,-0.13120721426038814,-0.07584262929265942,0.13973607629010623,-0.01394723180349985,-0.002164429582482136,-0.2873174130897742,-0.15311476901007015,mensch+en treff+en
Selbst,8.992575365910183,-0.04251210521747188,0.18014870972603203,0.06152701699266004,-0.0829073915174206,-0.09137748258844007,-0.8060435552423132,-0.671840911162609,Selbst
treff+en selbst,5.37487677314519,-0.11340605582194202,-0.06422296778998925,0.13593080242446576,-0.02285678905851831,-0.017176155872396345,-0.2913799255400732,-0.157177281460369,treff+en selbst
moderaten,5.476625067790045,-0.09096540401567411,-0.05382075337339384,0.13823016713435846,-0.03958595033969857,-0.04292656243259035,-0.3101333254117373,-0.17593068133203318,moderaten
selbst moderat+en,5.476625067790045,-0.09096540401567411,-0.05382075337339384,0.13823016713435846,-0.03958595033969857,-0.04292656243259035,-0.3101333254117373,-0.17593068133203318,selbst moderat+en
Emissionen,7.968878717443658,-0.12957054182239983,0.5325622178862394,0.006775339855039286,-0.22033831925626704,-0.25313000391621204,-0.6851880727211145,-0.5509854286414102,Emissionen
moderat+en emission+en,5.632983622185339,-0.08110789715109192,-0.05545421658303379,0.15292225638900037,-0.058309241484589734,-0.06824458423562973,-0.33828353014755846,-0.20408088606785435,moderat+en emission+en
steuern,8.731074429053704,0.09702167563900127,-0.20639478337724965,0.24124768367892113,-0.22014588407729913,-0.26593907673906747,-0.7765327131962797,-0.6423300691165756,steuern
emission+en steuer+n,6.049332146480338,-0.1015844288450073,-0.09174490720627806,0.2235382608240272,-0.11048364758098199,-0.12771293651118334,-0.40959215465354637,-0.2753895105738421,emission+en steuer+n
ganze,12.908014619797857,0.03337378756061434,0.15293910570062996,0.11341459965394311,-0.16225178467724974,-0.205568121154762,-1.1674926845199662,-1.033290040440262,ganze
steuer+n ganz+e,5.982130960671651,-0.04500149608788653,-0.04960101659139118,0.15354186649072502,-0.07819150832968255,-0.10098651064840694,-0.3984211301397226,-0.26421848606001824,steuer+n ganz+e
Weltregionen,10.692790036978673,-0.05768734160524972,0.07784432729663555,0.14945692789010281,-0.11245390883855026,-0.11944594774155377,-0.9792139637393998,-0.8450113196596957,Weltregionen
ganz+e welt+region+en,6.036507164429265,-0.013363036306246882,-0.031058979294786702,0.11902310145201186,-0.06610321212509751,-0.09336166628975663,-0.40746983835675754,-0.2732671942770533,ganz+e welt+region+en
Stunde-Null-Dürre,15.197684878798222,0.12161774580675443,-0.18580977451625855,0.14457399697378753,-0.09711108673638084,-0.13952686496082928,-1.3307873833620383,-1.1965847392823343,Stunde-Null-Dürre
welt+region+en stunde-null-dürre,7.23412176503613,0.07808240124445398,-0.02687050874000814,0.08119323053897383,-0.07649080613998402,-0.12681125328395487,-0.5884532434284664,-0.4542505993487624,welt+region+en stunde-null-dürre
zeigt,92.13180023950689,0.0983812134491848,0.09337539556791023,0.10316692937932131,-0.16983291825470562,-0.27014821341436496,-0.5943613071433302,-0.2581032676921586,zeigt
stunde-null-dürre zeig+t,7.3241689479981416,0.08663977563225476,-0.012015998126170779,0.07574631282698585,-0.08226716825943123,-0.13695869004480093,-0.6008239719841366,-0.4666213279044327,stunde-null-dürre zeig+t
neue,88.30618021883194,-0.011843437608117867,-0.03938234408392337,0.17381600776921793,-0.18961601014087134,-0.11947157405048622,-0.591546676053886,0.2039610425777005,neue
zeig+t neu+e,6.450610923646231,0.04031583382426707,0.013504591718580696,0.0868710758294442,-0.08057381459641672,-0.1255674906622796,-0.4738191208823269,-0.3396164768026228,zeig+t neu+e
Studie,51.59989457412409,0.038215398654663724,0.18504516744832844,0.13781401948448846,-0.21170204689970804,-0.2310255937560539,-2.553163907063926,-2.418961262984222,Studie
neu+e studie,13.323278004842102,-0.14276604364483936,0.20055300809884574,0.11939862343277474,-0.09675675170930745,-0.07118705245496203,-1.19915700901072,-1.0649543649310158,neu+e studie
Welche,22.00679339920053,0.037374829247676204,0.2162622836524186,-0.07528084132759155,-0.2903814920655575,-0.06531469157439103,1.0118061137480994,-1.5667928302008998,Welche
Länder,26.215220599583283,0.07303283933431534,-0.1199453732293674,0.10671848183316988,-0.04988670233688979,-0.04961752524793811,-1.8759844587183832,-1.741781814638679,Länder
welche land+er,5.657005573913575,0.00471131587894596,0.06962977307978473,0.05357113599886286,-0.057175023171862405,-0.08949481070795516,-0.34253897938879396,-0.20833633530909,welche land+er
besonders,54.57373807391637,0.046901482583100895,0.24222457722401838,0.07865311334759337,-0.14774478685847764,-0.22931624994841732,-2.6091970570976075,-2.474994413017903,besonders
land+er besonders,5.5194995104854705,-0.009923739695150608,0.08292446856813752,0.05173631417290909,-0.05449191855058226,-0.08291743745406484,-0.31793146550368956,-0.1837288214239856,land+er besonders
gefährdet,16.635366331137153,-0.16041081035819066,0.23246913234662536,0.08674455393953948,-0.18102522287364456,0.05734456348635039,-1.421175208653069,-1.286972564573365,gefährdet
besonders gefährd+et,7.2099789362224636,0.06974107069350782,0.028593254390011716,0.07014523318915923,-0.08495212210524261,-0.13583481566838568,-0.5851103075411516,-0.45090766346144723,besonders gefährd+et
kommenden,21.117525719184513,-0.06760580886000656,0.14003336949629752,0.09722531837113613,-0.05198649991804956,-0.07461719826030201,-1.6597475762429825,-1.5255449321632784,kommenden
Jahren,133.04680942087592,0.07284926199576941,-0.05912097125955709,0.2032040859583287,-0.2170084338757489,-0.2077891632729895,-1.2335498132788019,-3.3661426504705165,Jahren
komm+end+en jahr+en,10.496888790478394,-0.29093847224046143,0.027158417679811316,0.1748793440228247,-0.007839146087623235,0.058616888590465425,-0.9607231853031811,-0.8265205412234768,komm+end+en jahr+en
Zuge,13.10566087836605,-0.23110760146986728,0.9257005813023652,-0.3021360724004635,-0.3430228796882269,-0.2499208454103288,-1.1826885427018108,-1.0484858986221068,Zuge
jahr+en zug+e,5.585755891364736,-0.2280196236071659,0.5409540523950088,-0.04233145477825054,-0.1378818573168931,-0.1354852036664403,-0.3298640442058143,-0.19566140012611016,jahr+en zug+e
Klimawandels,86.52295475206199,-0.4112723499771323,1.2748750186470506,-0.4458583749884448,-0.7453879423439779,-0.7821184140939763,-3.0700540293045195,-2.935851385224815,Klimawandels
zug+e klima+wandel+s,13.689957083140111,-0.3751628604697086,1.3060893296041163,-0.7776306318338441,-0.637619068124195,-0.5513657548134303,-1.2263067821053073,-1.0921041380256031,zug+e klima+wandel+s
Städten,13.096800643989452,-0.3976933792575097,0.4288344575125049,0.052383089397026926,-0.056355161289772235,0.024198579126471123,-1.1820122524451313,-1.047809608365427,Städten
klima+wandel+s stadt+en,5.35816589998816,-0.24546376779477502,0.32423358819786663,0.045625463835324016,-0.06395706147282292,-0.04084822339091264,-0.2882660114024008,-0.1540633673226966,klima+wandel+s stadt+en
bestimmter,5.355976028897799,-0.2562628540488228,0.2562384384249271,0.07134132254486439,-0.04480523971037946,-0.0151717085465965,-0.28785722997400626,-0.15365458589430214,bestimmter
stadt+en bestimm+t+er,5.355976028897799,-0.2562628540488228,0.2562384384249271,0.07134132254486439,-0.04480523971037946,-0.0151717085465965,-0.28785722997400626,-0.15365458589430214,stadt+en bestimm+t+er
bestimm+t+er welt+region+en,5.444293437045594,-0.28696527941318234,0.16876962415941432,0.10788002356803765,-0.02127850515372937,0.01970504669114105,-0.3042122620525317,-0.17000961797282776,bestimm+t+er welt+region+en
extremer,53.67775743493518,0.1519174022587041,0.028154181553649224,0.14409120483816382,-0.20735361093877894,-0.2740174609226574,-2.592642992958981,-2.4584403488792765,extremer
welt+region+en extrem+er,5.956511403524546,-0.3958580040969799,0.002922954117040672,0.18578448500020037,0.01898978979292421,0.08785156603159844,-0.39412925243838454,-0.2599266083586804,welt+region+en extrem+er
extrem+er wasser+knappheit,7.355214914543293,-0.6166043528884022,-0.241715900017731,0.2933688346514067,0.06513264561040752,0.1730724978157444,-0.6050538515383582,-0.47085120745865405,extrem+er wasser+knappheit
kommen,26.66810244896652,-0.1287154342539873,-0.3442261851136237,0.14534287506063875,-0.05693515442458231,0.005224443494770454,0.5841932090442181,1.192461542266082,kommen
wasser+knappheit komm+en,10.90209500649701,-0.8177243303627045,-0.5081881784844681,0.3866339667670862,0.08495336509120432,0.22297749546621318,-0.9985992509131216,-0.8643966068334175,wasser+knappheit komm+en
Regionen,50.9136196396333,0.029292297841602664,-0.17492847079416562,0.1250591099891627,-0.10418557482211976,-0.012632240031925436,-2.5397747418970753,0.8314957059578075,Regionen
